n_features,feature_set,subject_auc_roc,subject_sensitivity,subject_specificity,subject_precision,subject_confusion_matrix,subject_n
66,all,0.4254385964912281,0.3333333333333333,0.5,0.3448275862068966,"{'tn': 19, 'fp': 19, 'fn': 20, 'tp': 10}",68
10,top_10,0.5921052631578947,0.5333333333333333,0.6052631578947368,0.5161290322580645,"{'tn': 23, 'fp': 15, 'fn': 14, 'tp': 16}",68
20,top_20,0.5789473684210527,0.5,0.5789473684210527,0.4838709677419355,"{'tn': 22, 'fp': 16, 'fn': 15, 'tp': 15}",68
40,top_40,0.45350877192982453,0.36666666666666664,0.5526315789473685,0.39285714285714285,"{'tn': 21, 'fp': 17, 'fn': 19, 'tp': 11}",68
